record_id,site,observation_date,collection_window,source_sheet,seconds_elapsed,speed_mps,walking_direction,distance_m,in_group,using_phone,texting,calling,holding_phone,gender_recorded,overtaken,overtakes,phone_follower,phone_follower_2,phone_follower_3,text_follower,group_follower
city_road_013,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,15.000000000002345,1.5999999999997498,away,24,N,N,N,N,N,M,,,,N,,,
city_road_014,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,18.999999999999773,1.2631578947368571,away,24,N,N,N,N,N,F,,,,N,,,
city_road_015,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,15.999999999999304,1.5000000000000653,away,24,N,N,N,N,N,F,,,,N,,,
city_road_016,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,14.00000000000059,1.2857142857142316,towards,18,N,N,N,N,N,F,,,Y,N,N,,
city_road_017,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,15.999999999999304,1.1250000000000488,towards,18,N,N,N,N,Y,F,,,Y,N,N,,
city_road_018,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,17.00000000000106,1.411764705882265,away,24,N,N,N,N,N,M,,,,N,,,
city_road_019,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,11.00000000000012,1.6363636363636185,towards,18,N,N,N,N,N,M,,,Y,Y,N,,
city_road_020,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,17.00000000000106,1.411764705882265,away,24,N,Y,Y,N,Y,M,,,,N,,,
city_road_021,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,20.000000000001528,1.1999999999999083,away,24,N,Y,Y,N,Y,F,Y,,,N,,,
city_road_022,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,19.999999999958362,1.2000000000024982,away,24,N,N,N,N,N,M,,21,,N,,,
city_road_023,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,13.999999999995794,1.285714285714672,towards,18,N,N,N,N,N,F,,,Y,N,N,,
city_road_024,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,15.000000000002345,1.5999999999997498,away,24,N,N,N,N,N,M,,,,N,,,
city_road_025,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,18.999999999999773,1.2631578947368571,away,24,N,N,N,N,N,F,,,,N,,,
city_road_026,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,21.000000000003283,1.1428571428569643,away,24,N,Y,Y,N,Y,M,,,,N,,,
city_road_027,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,19.000000000009365,1.2631578947362194,away,24,N,N,N,N,N,M,,,,N,,,
